,text,audio_file
15,ਸਡ ਖਤਰ ਵਚ ਬਹਤ ਸਰਆ ਮਨਰਜਨ ਦਆ ਗਤਵਧਆ ਹਨ ਜਵ ਕ  ਜਆਦਤਰ ਲਕ ਆਪਣ ਮਨਰਜਨ ਖਡ ਕ ਕਰਦ ਹਨ ਇਥ ਬਹਤ ਸਰ ਜਮ ਹਨ ਜਥ ਜ ਕ ਲਕ ਮਨਰਜਨ ਕਰਦ ਹਨ ਅਤ ਐਕਸਰਸਈਜ ਘਟ ਕਰਦ ਹਨ ਇਥ ਬਹਤ ਸਰ ਗਰਪ ਬਣ ਹਏ ਹਨ ਜਥ ਜ ਕ ਲਕ ਗਲਬਤ ਕਰਤ ਹਨ ਅਤ ਆਪਣ ਮਨ ਨ ਸਕਨ  ਪਰਪਤ ਕਰਤ ਹਨ ਇਥ  ਵਖ ਵਖ ਥਵ ਹਨ ਅਤ ਵਖ ਵਖ ਤਰਹ ਦ ਲਕ ਰਹਦ ਹਨ ਇਥ ਸਰ ਲਕ ਸਮ ਨ ਪਰਕ ਵਚ ਕਠ ਹਦ ਹਨ ਅਤ ਘਮਦ ਫਰਦ ਹਨ ਅਤ ਆਪਣ ਮਨਰਜਨ ਕਰਦ ਹਨ ਇਥ ਬਹਤ ਸਰ ਮਲ ਬਣ ਹਏ ਹਨ ਜਹਨ ਵਚ ਪ ਵ ਆਰ ਅਤ ਸਨਮ ਵ ਹ ਉਥ ਵ ਜ ਕ ਲਕ ਮਨਰਜਨ ਕਰਦ ਹਨ ਅਤ ਆਪਣਆ ਮਨਪਸਦ ਮਵਆ ਦਖਦ ਹਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813120.wav
27,ਜਦ ਸਭ ਤ ਪਹਲ ਮ ਕਕ ਬਣਉਣ ਦ ਰਸਪ ਸ ਜ ਹ ਮ ਇਕ ਬਕ ਦ ਵਚ ਮ ਪਹ ਸ ਬਟ ਮ ਉਸ ਰਸਪ ਨ ਬਣਉਣ ਦ ਟਈਮ ਉਸ ਬਕ ਨ ਆਪਣ ਨਲ ਨਹ ਰਖਆ ਤ ਮ ਜਦ ਕਕ ਬਣਉਣ ਲਗ ਤ ਮ ਉਸ ਦ ਵਚ ਕਛ ਚਜ ਪਉਣ ਵ ਭਲ ਗਈ ਤ ਮ ਜ ਟਈਮ ਸ ਉਹ ਵ ਮਨ ਪਤ ਨਹ ਸ ਕ ਪਰ ਕਨ ਲਗਉਣ ਆ ਤ ਜ ਮਰ ਕਕ ਸ ਉਹ ਬਲਕਲ ਹ ਜਲ ਚਕਆ ਸ ਤ ਮਰ ਟਈਮ ਵ ਵਸਟ ਹਇਆ ਤ ਜ ਮ ਲਆਦਆ ਹਈਆ ਚਜ ਸ ਕਕ ਬਣਉਣ ਦ ਲਈ ਮਰਆ ਉਹ ਵ ਵਸਟ ਗਈਆ ਤ ਮ ਅਗਲ ਵਰ ਜਦ ਵ ਆਪਣ ਕਈ ਰਸਪ ਬਣਉਗ ਤ ਮ ਇਸ ਚਜ ਦ ਧਆਨ ਰਖਗ ਕ ਪਹਲ ਤ ਮ ਰਸਪ ਨ ਚਗ ਤਰਹ ਪਹ ਤ ਫਰ ਟਈਮ ਦ ਅਕਡਗ ਹ ਜਨ ਕ ਟਈਮ ਉਸ ਰਸਪ ਬਣਨ ਨ ਚਹਦ ਆ ਮ ਸਰਫ ਉਨ ਹ ਟਈਮ ਦਊਗ ਮ ਅਗਲ ਵਰ ਇਸ ਚਜ ਦ ਧਆਨ ਰਖਗ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580820742.wav
41,ਕਈ ਵਧਆ ਜਹ ਸਨ ਰਸਟਰਟ ਦਸ ਦਓ ਜਸ ਵਚ ਅਸ ਠਹਰ ਸਕਏ ਅਸ ਦਸ ਜਣ ਆ ਤ ਕ ਤਸ ਉਸ ਦ ਹਸਬ ਨਲ ਵਡ  ਗਡ ਲ ਲਓ ਤ ਕ ਸਡ ਸਮਨ ਉਸ ਵਚ ਆ ਜਵ ਤ ਅਸ ਸਰ  ਵਧਆ ਨਲ ਐਡਜਸਟ ਹ ਜਈਏ ਤ ਉਥ ਕਨ ਥਆਨ ਨਣ ਦਵ ਜਣ ਦ ਕਨ ਪਸ ਲਗਦ ਆ ਸਨ ਉਹ ਵ ਤਸ ਦਸ ਦਓ ਤ ਕ ਅਸ ਥਆਨ ਫਸ ਵ ਦ ਦਏ ਤ ਸਨ ਮਤ ਸਲਹ ਤਰਕ ਨ ਜਣ ਏ ਤ ਅਗ ਅਠਰਹ ਨ ਆਣ ਹਗ ਤ ਘਰ ਸਡ ਹਗ ਏ ਆਸਰ ਪਡ ਹਗ ਏ ਸਨ ਉਥ ਤਸ ਲਣ ਹਗ ਵਪਸ ਸਨ ਉਥ ਲ ਕ ਜਣ ਏ ਘਰ ਨ ਠਕ ਐ ਸਰ ਓਕ ਸਰ ਥਕਯ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580827068.wav
26,ਸਡ ਮਹਲ ਜਲਹ ਦ ਪਡ ਬਲ ਮਜਰ ਵਚ  ਕਬਡ ਦ ਟਰਨਮਟ ਹਦ ਏ ਉਥ ਬਚ ਬਡ ਸਆਣ ਸਰ ਵਧ ਚਹ ਕ ਹਸ ਲਦ ਹਨ ਤ ਸਰ ਪਰਵਰ ਸਮਤ ਆਉਦ ਹਨ ਕਬਡ ਦ ਕਪ ਦ ਵਚ  ਬਹਤ ਹ ਹਣਹਰ ਨਜਵਨ ਭਗ ਲਦ ਹਨ  ਤ ਸਨ ਬਚਆ ਨ ਤ ਬਆ ਨ ਸਖਣ ਦ ਉਹਨ ਤ ਮਕ ਮਲਦ ਹ ਤ ਜਹ ਬਚ  ਬ ਖਡ ਕਨ ਨ ਧਆਨ ਨਹ ਦਦ ਉਹਨ ਦ ਉਤਸਹ ਵਧਦ ਹ ਤ ਉਹਨ ਨ ਜਗਰਤ ਮਲਦ ਹ ਕ ਅਸ ਅਗ ਕਦਮ ਚਕਣ ਐ ਤ ਅਸ ਵ ਖਡਣ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580819207.wav
48,ਹਲ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
24,,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580815500.wav
43,ਤ ਅਸ ਅਸ ਮਸ ਐਪ ਤ ਇਹ ਮਗਇਆ ਸ ਅਸ ਕਈ ਵਰ ਸਨ ਇਹ ਪਰਡਕਟ ਇਨ ਜਆਦ ਖਰਬ ਆ ਜਦ ਹਨ ਕ ਮਤਲਬ ਕ ਜ ਚਜ ਅਸ ਦਖਦ ਆ ਨ ਉਹ ਚਜ ਆਦ ਈ ਨ ਐ ਕਛ ਹਰ ਏ ਆ ਜਦ ਇਦ ਲਗਦ ਪਤ ਨ ਕਆ ਆ ਗਆ ਮਰ ਨਲ ਇਹ ਕਫ ਵਰ ਹ ਗਆ ਏ ਮ ਕਈ ਵਰ ਮਤਲਬ ਕ ਸ ਵ ਐਨ ਵਰ ਮਗਈ ਐ ਸ ਦ ਮਤਲਬ ਕ ਬਰਡਰ ਕਫ ਜਆਦ ਉਹ ਚ ਗਪ ਵ ਹਦ ਐ ਤ ਫਰ ਹਣ ਨ ਸਨ ਇਹ ਵ ਲਗਦ ਸਚਣ ਚ ਵ ਮ ਐਦ ਲਗਦ ਕ ਹਣ ਕਆ ਮਗਈਏ ਕਆ ਨ ਜਦ ਸਡ ਨਲ ਪਹਲ ਹਇਆ ਤ ਫਰ ਤ ਦਬਰ ਨ ਇਦ ਦ  ਪਰਡਕਟ ਸਨ ਦਬਰ ਦ ਦਣ ਤ ਫਰ ਹਣ ਤ ਮਸ਼ ਤ ਐਦ ਲਗਦ ਕ ਹਣ ਕਛ ਰਹਣ ਦਏ ਮਗਣ ਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580827069.wav
76,ਹ ਮਨ ਫਰ ਲਈਵ ਲਕਸ਼ਨ ਕਰ ਦਓ ਸਡ ਕਰ ਦਓ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
57,ਹਜ ਹਰ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
11,ਐਪਲਕਸਨ ਆਈ ਡ ਕ ਈ ਦ ਜਰ ਦ ਇਕ ਅਠ ਨ ਚਰ ਪਜ ਪਜ ਇਕ ਜਰ ਸਤ ਪਜ ਜਰ ਤਨ ਅਠ ਚਰ ਅਤ ਜਨਮ ਮਤ ਪਚ ਚਰ ਦ ਹਰ ਉਨ ਦ ਵਰਤ ਕਰਕ ਰਸ਼ਟਰ ਸਕਲਰਸਪ ਪਰਟਲ ਤ ਮਰ ਨਵਨਕਰਨ ਅਰਜ ਦ ਸਥਤ ਦ ਪਤ ਕਰ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580812234.wav
32,ਮ ਆਪਣ ਡਲਹਜ ਦ ਯਤਰ ਦ ਵਰਣਨ ਕਰਨ ਚਹਦ ਆ ਜਥ ਮ ਇਕ ਸਵ ਮਦਰ ਦ ਦਰਸਨ ਕਰਨ ਗਈ ਸ ਉਹ ਮਦਰ ਐਨ ਉਚਈ ਤ ਸਗ  ਕ ਅਸ ਲਗਭਗ ਬਦਲ ਦ ਵਚ ਹ ਆ ਜਦ ਸਗ  ਤ ਜਦ ਉਥ ਨਰ ਹਦ ਸ ਜਦ ਮਤਲਬ ਕ  ਮਹ ਪਣ ਵਲ਼ ਹਦ ਸ ਤ ਬਦਲ ਕਲ ਹਦ ਸਗ  ਤ ਉਥ ਆਲ਼ ਦਆਲ਼ ਨਰ ਹ ਜਦ ਸਗ ਤ ਮਨ ਜਆਦਤਰ ਨਰ ਤ ਡਰ ਲਗਦ ਹਦ ਸ ਪਰ ਜਦ ਮ ਉਥ ਗਈ ਆ ਤ ਫਰ ਇਕ ਤਰਹ ਦ ਇਹ ਹਇਆ ਕ ਨਰ ਜਹ ਹਦ ਡਰ ਜਹ ਹਦ ਏ ਆ ਉਹ ਇਕ ਆਪਣ ਮਨ ਦ ਵਹਮ ਹਦ ਆ  ਇਹ ਹਦ ਕਛ ਨ ਤ ਅਸਲ ਵਚ ਉਥ ਹ ਮ ਆਪਣ ਡਰ ਤ ਦਰ ਕਰਕ ਆਈ ਦਰ ਕਰਕ ਆਈ ਆ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580824287.wav
74,ਅਛਆ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
59,ਮ ਕਹ ਭਜ ਆਪਣ ਰਟ ਕਆ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
63,ਅਛ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
69,ਅਛ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
37,ਪਜਬ ਵਚ ਸਵ ਸਹਲਤ ਬਹਤ ਅਛਆ ਨ ਹਗਆ ਔਰਤ ਬਚਆ ਤ ਬਜਰਗ ਨ ਜ ਐਮਰਜਸ ਦ ਦਰਨ ਲ ਪਜ ਤ ਉਹਨ ਨ ਪਰਈਵਟ ਸਹਲਤ ਵਲ ਈ ਜਣ ਪਦ ਹ ਖਸ ਕਰਕ ਇਹ ਕਹਣ ਚਹਵਗ ਕ ਬਜਰਗ ਦ ਸਵ ਸਭਲ ਵ ਵਸਤ ਗਰਮਟ ਨ ਇਕ  ਸਟਫ ਦ ਗਠਨ ਕਰਨ ਚਹਦ ਹ ਜ ਕ ਲਕ ਨ  ਬਜਰਗ ਲਕ ਨ ਘਰ ਜ ਕ ਉਹਨ ਦ ਦਖਭਲ ਕਰ ਸਕ ਅਤ ਉਹ ਵਜਬ ਰਟ ਤ ਹ ਸਕ ਕਉਕ ਅਜ ਕਲਹ ਬਜਰਗ ਦ ਕਫ ਬਚ ਬਹਰ ਸਟਲ ਹ ਗਏ ਹਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580826337.wav
29,ਮ ਬਰਹ ਤਰਹ ਸਲ ਦ ਸ ਛਟ ਜਦ ਮ ਤਰਕ ਸਖ ਮਨ ਤਰਕ ਮਰ ਵਡ ਭਰ ਨ ਸਖਈ ਆਪ ਛਟ ਹਦ ਰਜ ਹਫਤ ਚ ਕਈ ਦਨ ਤਕ ਹਫਤ ਦ ਮਸਟਲ ਦਨ ਵਚ ਆਪ  ਸਵਮਗ ਪਲ ਚ ਜਦ ਸ ਅਤ ਉਥ ਮਰ ਵਡ ਭਰ ਮਨ ਸਖਉਦ ਸ  ਸਰ ਸਰ ਚ ਮਨ ਬਹਤ ਡਰ ਲਗਦ ਸ ਸਵਮਗ ਤ ਕਉ ਜਦ ਪਣ ਦਖ ਕ ਮ ਡਰ ਜਦ ਸ ਤ ਮਰ ਸਹ ਫਲ ਜਦ ਸ ਪਰ ਹਲ ਹਲ ਟਈਮ ਦ ਨਲ ਮਨ ਮਰ ਭਰ ਨ ਸਖਇਆ ਤ ਹਲ ਹਲ ਮਨ ਇਹ ਵਧਆ ਤਰਕ ਆ ਗਈ ਤ ਮ ਕਫ ਚਗ ਤਰਹ ਤਰਕ ਸਖ ਗਆ ਤ ਹਣ ਮਨ ਇਹ ਕਈ ਇਹ ਕਈ ਸਟਰਕ ਸਵਮਗ ਦਆ ਕਈ ਸਟਰਕਸ ਆਉਦਆ ਹਨ  ਬਲਕ ਫਲਪਗ  ਡਪ ਸਵਮਗ ਕਈ ਅਤ ਹਰ ਵ ਕਈ ਤਰਹ ਦ ਸਵਮਗ ਦ ਟਕਟਕਸ ਮ ਜਣਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580823764.wav
1,ਕ ਤਸ ਦਖ ਸਕਦ ਹ ਕ ਕਉ ਇਸ ਮਹਨ ਦ ਤਨਖਹ ਮਰ ਤਮਲਨਡ ਮਰਕ ਟਈਲ ਬਕ ਦ ਖਤ ਨ ਪਜ ਪਜ ਨ ਪਜ ਛ ਪਜ ਇਕ ਅਠ ਪਜ ਸਤ ਪਜ ਤਨ ਦ ਵਚ ਆਈ ਹ ਅਤ ਜਕਰ ਹ ਤ ਕਰਲ ਗਰਮਣ ਬਕ ਦ ਖਤ ਇਕ ਅਠ ਛ ਇਕ ਨ ਇਕ ਦ ਦ ਤਨ ਸਤ ਅਠ ਸਤ ਚਰ ਪਜ ਇਕ ਅਠ ਵਚ ਯਨ ਐਸ ਬ ਆਈ ਰਹ ਨ ਰ ਰ ਰ ਰ ਰਪਏ ਟਰਸਫਰ ਕਰ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580802376.wav
52,ਮ ਕਹ ਭਜ ਆਹ ਤਹਡ ਨਬਰ ਮਨ ਦਤ ਸਗ ਮਨ ਮਨ ਨ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
21,ਮਨ ਡਸ ਕਰਨ ਬਹਤ ਆਦ ਵਧਆ ਲਗਦ ਹ ਜਦ ਕਈ ਖਸ ਦ ਪਰਗਰਮ ਹਦ ਸ ਤ ਮ ਸਭ ਤ ਪਹਲ ਜ ਕ ਡਸ ਕਰਦ ਸ ਸਕਲ ਵਚ ਵ ਜਦ ਕਈ ਵ ਪਰਗਰਮ ਹਦ ਸ ਜ ਸਭਆਚਰ ਕਈ ਵ ਪਰਗਰਮ ਹਦ ਸ ਮ ਬਲਆ ਵਚ ਪਰਟਸਪਟ ਜਰਰ ਕਰਦ ਹਦ ਸ ਜਸ ਕਰਕ ਮਨ ਇਨਮ ਬ ਬਹਤ ਮਲਦ ਹਦ ਸ ਵਆਹ ਦ ਗਲ ਕਰਏ ਤ ਜਦ ਅਸ ਵਆਹ ਹਦ ਸ ਸਡ ਸਡ ਪਡ ਵਚ ਜ ਸਡ ਨ ਤ ਜ ਸਡ ਰਸਤਦਰ ਕਤ ਵ ਵਆਹ ਹਦ ਸ ਤ ਅਸ ਸਰ ਚਚ ਤਏ ਦ ਬਚ ਕਠ ਹ ਕ ਸਰ ਬਹਤ ਆਦ ਧਮ ਮਚਦ ਸਨ ਸਭ ਨਚਦ ਟਪਦ ਸਨ ਬਲਆ ਤ ਬਲਆ ਬਲਆ ਤ ਨਚਦ ਸਨ ਬਲਆ ਸਡ ਸਭਆਚਰ ਦਆ ਬਲਆ ਹਦਆ ਹਨ ਜਨਹ ਤ ਡਸ ਕਰਨ ਬਹਤ ਆਦ ਵਧਆ ਲਗਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813613.wav
2,ਪਜਬ ਭਸ ਗਲ ਕਰਨ ਦ ਇਕ ਸਭ ਤ ਸਖ ਸਧਨ ਮਨ ਜਦ ਹ ਜਨ ਵ ਸਡ ਇਤਹਸ ਸ ਉਹ ਸਰ ਗਰਥ ਵਗਰ ਪਜਬ ਭਸ ਵਚ ਲਖ ਜਦ ਹਨ ਤ ਕ ਲਕ ਨ ਪਹਨ ਵਚ ਤ ਉਹਨ ਨ ਸਮਝਣ ਵਚ ਅਤ ਆਪਣ ਰਜ ਲਈਫ ਵਚ ਉਹਨ ਨ ਇਸਤਮਲ ਕਰਨ ਲਈ ਕਮ ਆ ਸਕ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580803154.wav
23,ਮਹਲ ਜਲਹ ਵਚ ਬਹਤ ਜਗਹ ਐ ਜਥ ਆਪ ਘਮਣ ਜਨ ਆ ਔਰ ਬਹਤ ਅਛ ਅਛ ਮਨਰਜਨ ਦਆ ਜਗਹ ਐ ਜਥ ਆਪ ਜ ਸਕਦ ਅਨ ਜਸ ਤਰਹ ਕ ਚਪਚ ਜ ਇਕ ਬਹਤ ਅਛ ਪਰਕ ਬਣਆ ਹਇਆ ਦਖਨ ਯਗ ਐ ਉਥ ਪਜਬ ਪਜਬ ਬਰ ਬਹਤ ਕਛ ਦਸਆ ਗਆ ਉਸ ਤ ਇਲਵ ਮਲ ਮਲ ਲਗ ਲਓ ਡ ਮਟ ਲਗ ਲਓ ਔਰ ਮਰਕਟਸ ਜਸ ਤਰਹ ਥਰ ਬ ਟ ਦ ਮਰਕਟ ਹ ਗਈ ਔਰ ਆਪ ਜਥ ਜਨ ਆ ਘਮਣ ਫਰਨ ਥਏਟਰ ਚ ਸਲਮ ਜਸ ਤਰਹ ਮਵਜ ਦਖਣ ਜਨ ਆ ਆਪ ਫਲਮ ਦਖਣ ਚਲ ਜਨ ਆ ਕਈ ਵਰ ਆਪਣ ਬਚਆ ਨਲ ਫਮਲ ਨਲ ਅਛ ਟਈਮ ਸਪਡ ਹਦ ਉਥ ਔਰ ਉਸ ਤ ਇਲਵ ਆਪ ਮਰਕਟ ਚਲ ਜਨ ਆ ਥਰ ਬ ਟ ਦ ਮਰਕਟ ਚ ਸਪਗ ਕਰ ਲਓ ਰ ਮਰਕਟ ਐ ਹਰ ਵ ਕਈ ਜਗਹ ਐ ਜਥ ਆਪ ਜਣ ਮਤਲਬ ਪਸਦ ਕਰਦ ਆ ਜਆਦਤਰ ਔਰ  ਉਰ ਇਕ ਕਰਕਟ ਵਲ ਉਹ ਵ ਹਗ ਏ ਸਟਡਅਮ ਜਥ ਕਰਕਟ ਦਖਨ ਦ ਬਹਤ ਅਛ ਮਜ ਆਦ ਜਆਦਤਰ ਪਜਬ ਜਦ ਅਨ ਔਰ ਕਬਡ ਵਗਰ ਦ ਸਟਡਅਮ ਵ ਜਥ ਕਬਡ ਖਲ ਜਦ ਐ ਆਮ ਪਡ ਵਚ ਜਆਦਤਰ ਕਬਡ ਦ ਮਚ ਹਦ ਐ ਆਸ ਪਸ ਔਰ ਜਦ ਨ ਲਕ ਦਖਨ ਕ ਜਆਦ ਮਲ ਲਗਦ ਆ ਜਸ ਤਰਹ ਮਲ ਹਣ ਪਛ  ਖ ਦ ਮਲ ਹ ਕ ਹਟਐ ਜ ਕ ਬਹਤ ਅਛ ਮਲ ਸ ਸਰ ਲਕ ਉਧਰ ਵ ਜਦ ਨ ਦਖ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813686.wav
20,ਮ ਘਮਣ ਫਰਨ ਦ ਬਹਤ ਆਦ ਸਕਨ ਹ ਮਨ ਵਖ ਵਖ ਥਵ ਤ ਘਮਣ ਬਹਤ ਆਦ ਹ ਪਸਦ ਐ ਪਰ ਜ ਮਖ ਤਰ ਤ ਗਲ ਕਰ ਤ ਮਨ ਅਮਰਤਸਰ ਜਣ ਬਹਤ ਆਦ ਪਸਦ ਹ ਕਉਕ ਇਹ ਸਖ ਦ ਇਕ ਤਰਥ ਅਸਥਨ ਹ ਜਥ ਬਹਤ ਸਰ ਲਕ ਆਦ ਜਦ ਰਹਦ ਹਨ ਤ ਬਹਤ ਬਹਰ ਵ ਲਕ ਐਥ ਮਥ ਟਕਣ ਆਉਦ ਹਨ ਇਸ ਦ ਸਥਪਨ ਸਈ ਮਆ ਮਰ ਜ ਨ ਰਖ ਸ ਇਹ ਸਖ ਦ ਤਰਥ ਅਸਥਨ ਹ ਇਸ ਦ ਜਹ ਬਹਰਲ ਪਸਨ ਹ ਉਹ ਸਰ ਗਲਡਨ  ਸਨ ਦ ਬਣਆ ਸਨ ਦ ਪਰਤ ਨਲ ਬਣਆ ਹਇਆ ਹ ਜਸ ਕਰਕ ਉਸਨ ਗਲਡਨ ਟਪਲ ਵ ਕਹਦ ਹਨ ਇਹ ਸਖ ਵਚ ਬਹਤ ਹ ਮਸਹਰ ਹ ਜਵ  ਮਸਲਮਨ ਦ  ਮਸਲਮਨ ਤ ਤਰਥ ਸਥਨ ਹਦ ਹ ਉਵ ਹ ਸਡ ਸਖ ਦ ਇਕ ਤਰਥ ਅਸਥਨ ਹਦ ਹ ਲਕ ਐਥ ਆਪਣ ਸਰਧ ਲ ਕ ਆਦ ਹਨ  ਸਖ ਸਖਦ ਹਨ ਬਹਤ ਕਛ ਕਰਦ ਹਨ ਐਥ ਆ ਕ ਪਠ ਸਣਦ ਹਨ ਕਰਤਨ ਸਣਦ ਹਨ ਤ ਸਨ ਜਸ ਕਰਕ ਸਨ ਮਨ ਦ ਸਤ ਮਲਦ ਹ ਅਸ ਬਹਤ ਸਰ  ਅਸ ਵ ਐਥ ਹਰ ਸਲ ਜਦ ਰਹਦ ਹ ਜ ਜਸ ਕਰਕ ਸਨ ਬਹਤ ਹ ਮਨ ਦ ਸਤ ਮਲਦ ਰਹਦ ਹ ਇਹ ਸਡ ਤਰਥ ਅਸਥਨ ਹ ਤ ਅਸ ਇਸਨ ਬਹਤ ਸਤਕਰ ਕਰਦ ਹ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813609.wav
60,ਅਛ ਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
71,ਅਛ ਜ  ਭਜ  ਕਨਆ ਕ ਐ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
14,ਪਜਬ ਭ ਭਸ ਵਖ ਵਖ ਥਵ ਤ ਵਖ ਵਖ ਭਮਕ ਨਭਉਦ ਹ ਜਵ ਕ  ਇਹ ਹਰ ਇਕ ਨਟਕ ਵਚ ਤ ਸਕਲ ਵਚ ਵ ਬਲ ਜਦ ਹ ਇਹ ਇਡਆ ਦ ਮਖ ਭਸ ਬਣ ਚਕ ਹ ਅਤ ਬਹਤ ਸਰ ਲਕ ਇਹਨ ਬਲਦ ਹਨ  ਤ ਬਹਤ ਸਰ ਫਵ  ਮਸਹਰ ਸਲਬਰਟਸ ਵ ਇਹਦ  ਇਹਦ ਵਰਤ ਕਰਦ ਹਨ ਜਵ ਕ ਸਧ ਮਸਵਲ ਇਸ ਨ ਬਹਤ ਅਗ ਲਕ ਗਆ ਹ ਅਤ ਪਲਵਡ ਵਚ ਵ ਖਸ ਕਰਕ ਪਜਬ ਭਸ ਬਲ ਜਦ ਹ ਅਤ ਬਹਤ ਸਰ ਨਜਵਨ ਪਜਬ ਬਲਣ ਵਲ ਬਹਰ ਵ ਜ ਚਕ ਹਨ ਅਤ ਉਹ ਬਹਰ ਜ ਕ ਵ ਆਪਣ ਪਜਬ ਭਸ ਦ ਨਮ ਰਸਨ ਕਰਨ ਵਚ ਸਫਲ ਹਏ ਹਨ ਅਤ ਬਹਤ ਸਰ ਕਲਜ ਹਨ ਅਤ  ਬਹਰਲਆ ਸਟਟ ਹਨ ਜਨ ਵਚ ਪਜਬ ਨ ਪਹਲ ਨਬਰ ਤ ਰਖਆ ਗਆ ਹ ਜਵ ਕ ਕਨਡ ਵਚ ਟਰਟ ਤ ਬਰਮਟਨ ਇਥ ਜਆਦਤਰ ਪਜਬ ਲਕ ਰਹਦ ਹਨ ਇਥ  ਇਗਲਸ ਨ ਸਕਡ ਲਗਏਜ ਮਨ ਕ ਪਜਬ ਨ ਫਸਟ ਲਗਏਜ ਘਸਤ ਕਤ ਗਆ ਹ ਅਤ ਬਹਤ ਸਰ ਨਜਵਨ ਭਰਤ ਵਚ ਰਹ ਕ ਪਜਬ ਭਸ ਹ ਬਲਦ ਹਨ ਇਹ ਇਗਲਸ ਨਹ ਬਲਣ ਚਹਦ ਹਨ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\5066549580813111.wav
51,ਮ ਦਲ ਤ ਬਲ ਰਹ ਭਜ,c:\Users\prash\Downloads\ai_speech_project\Punjabi\rv1b\train\69d1c4c3-56b8-4aec-b355-739cbcffabb2_0.wav
